,index,Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,Volatility,21_day_SMA,34_day_SMA,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
0,0,2017-05-15,ITC,EQ,274.95,275.9,278.9,275.5,278.5,277.95,277.78,5462855,1517476657.8,52501,4128324,75.57,5,2017,277.95,0.0,Slight or No change,,,,HODL,,,,
1,1,2017-05-16,ITC,EQ,277.95,278.5,284.3,278.0,283.0,283.45,280.93,11204308,3147583219.65,98347,8307567,74.15,5,2017,281.64731153406257,0.019787731606404124,Slight or No change,,,,HODL,,,,
2,2,2017-05-17,ITC,EQ,283.45,284.1,284.4,279.25,281.5,281.65,281.56,8297700,2336261277.95,99107,5924804,71.4,5,2017,281.64820511332266,-0.0063503263362145726,Slight or No change,,,,HODL,,,,
3,3,2017-05-18,ITC,EQ,281.65,278.0,281.05,277.05,277.65,277.9,278.49,7924261,2206821555.7,47830,5434449,68.58,5,2017,280.7451176489225,-0.013314397301615431,Slight or No change,,,,HODL,,,,
4,4,2017-05-19,ITC,EQ,277.9,282.25,295.65,281.95,286.4,286.2,290.08,35724128,10362681116.95,248579,19137631,53.57,5,2017,283.5852528947323,0.029866858582223925,Slight or No change,,,,HODL,,,,
5,5,2017-05-22,ITC,EQ,286.2,292.45,304.8,291.3,303.0,303.6,299.75,35939315,10772810200.15,250048,17079600,47.52,5,2017,290.4652016277132,0.06079664570230614,Slight or No change,,,,HODL,,,,
6,6,2017-05-23,ITC,EQ,303.6,301.9,303.9,298.25,300.0,300.15,300.39,19784738,5943114459.75,127039,12142585,61.37,5,2017,292.0062612347115,-0.011363636363636465,Slight or No change,,,,HODL,,,,
7,7,2017-05-24,ITC,EQ,300.15,300.0,301.95,297.9,300.1,299.9,299.95,9457848,2836836734.05,87850,6078221,64.27,5,2017,292.56426187763316,-0.0008329168748958392,Slight or No change,0.07201193049602216,,,HODL,,,,
8,8,2017-05-25,ITC,EQ,299.9,300.0,304.7,295.35,301.0,300.05,300.0,22769975,6830907928.0,110127,16464978,72.31,5,2017,293.65294664467035,0.0005001667222408468,Slight or No change,0.07191984823776396,,,HODL,,,,
9,9,2017-05-26,ITC,EQ,300.05,302.0,313.8,299.55,306.1,309.1,305.48,21742467,6641979713.7,155758,8123024,37.36,5,2017,295.5365290452153,0.030161639726712156,Slight or No change,0.07240736014452194,,,HODL,,,,
