Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,sma,std,upper_band,lower_band,Call
2017-06-09,HEROMOTOCO,EQ,3784.45,3796.3,3800.5,3755.6,3786.0,3780.1,3779.46,302560,1143513647.5,19861,198672,65.66,3684.06,107.36653722547587,3898.7930744509517,3469.326925549048,2
2017-06-12,HEROMOTOCO,EQ,3780.1,3777.0,3790.0,3760.35,3771.05,3773.25,3779.97,182605,690242211.0,17760,117935,64.58,3696.95,101.36603163003424,3899.6820632600684,3494.2179367399312,2
2017-06-13,HEROMOTOCO,EQ,3773.25,3780.0,3785.35,3742.25,3751.0,3752.5,3765.91,212476,800166535.5,16843,128289,60.38,3703.6050000000005,100.3709945782727,3904.346989156546,3502.863010843455,2
2017-06-14,HEROMOTOCO,EQ,3752.5,3764.0,3808.0,3751.05,3781.3,3789.05,3788.77,374661,1419506200.95,39825,260012,69.4,3710.7600000000007,101.14222997447999,3913.0444599489606,3508.4755400510408,2
2017-06-15,HEROMOTOCO,EQ,3789.05,3786.0,3820.0,3760.0,3774.0,3777.7,3785.08,163019,617039697.15,14888,94856,58.19,3720.0425000000005,98.14888432081709,3916.340268641635,3523.744731358366,2
2017-06-16,HEROMOTOCO,EQ,3777.7,3798.0,3798.0,3757.8,3780.0,3783.55,3780.53,229485,867574013.0,20613,161061,70.18,3730.6375000000007,92.56538354192267,3915.7682670838462,3545.506732916155,2
2017-06-19,HEROMOTOCO,EQ,3783.55,3790.0,3834.0,3790.0,3830.0,3825.45,3821.75,176591,674886161.8,22384,76227,43.17,3743.787500000001,85.85256008045732,3915.4926201609155,3572.082379839086,2
2017-06-20,HEROMOTOCO,EQ,3825.45,3829.0,3846.9,3781.0,3786.0,3797.0,3806.82,235259,895588945.7,34610,122496,52.07,3754.3875000000007,77.93839651491375,3910.2642930298284,3598.510706970173,2
2017-06-21,HEROMOTOCO,EQ,3797.0,3805.0,3809.8,3756.0,3765.0,3769.25,3773.21,253054,954826784.8,30240,205141,81.07,3764.4700000000003,64.36395975846736,3893.197919516935,3635.7420804830654,2
2017-06-22,HEROMOTOCO,EQ,3769.25,3770.0,3788.3,3717.55,3721.65,3730.7,3758.12,272211,1023001975.0,22996,185201,68.04,3769.7125,56.235828331749765,3882.1841566635,3657.2408433365003,2
2017-06-23,HEROMOTOCO,EQ,3730.7,3725.0,3730.05,3650.0,3650.55,3660.1,3676.28,371113,1364314798.65,43755,260537,70.2,3771.7975000000006,50.845163499746256,3873.487826999493,3670.1071730005083,2
2017-06-27,HEROMOTOCO,EQ,3660.1,3676.0,3711.7,3636.6,3700.0,3695.2,3671.43,365879,1343297828.15,44560,262472,71.74,3773.2675000000004,47.96263423640202,3869.1927684728043,3677.3422315271964,2
2017-06-28,HEROMOTOCO,EQ,3695.2,3681.0,3723.6,3667.05,3688.4,3688.45,3698.43,496312,1835577487.45,40066,364249,73.39,3770.6724999999997,51.13636947315363,3872.9452389463067,3668.3997610536926,2
2017-06-29,HEROMOTOCO,EQ,3688.45,3700.0,3735.95,3682.0,3724.5,3716.35,3706.91,384888,1426746550.25,31569,198187,51.49,3769.2175,52.29272686421006,3873.80295372842,3664.6320462715803,2
2017-06-30,HEROMOTOCO,EQ,3716.35,3690.0,3714.75,3665.0,3685.4,3701.35,3687.49,205581,758078830.45,20124,119182,57.97,3767.6175000000003,53.91239305577279,3875.442286111546,3659.7927138884547,2
2017-07-03,HEROMOTOCO,EQ,3701.35,3688.0,3785.25,3671.4,3770.1,3776.1,3740.38,249649,933782078.1,17602,96380,38.61,3763.9350000000004,50.40852345429531,3864.752046908591,3663.1179530914096,2
2017-07-04,HEROMOTOCO,EQ,3776.1,3804.05,3804.05,3693.65,3700.0,3703.35,3726.19,474327,1767434870.55,31147,171046,36.06,3757.355000000001,49.22603584753996,3855.807071695081,3658.902928304921,2
2017-07-05,HEROMOTOCO,EQ,3703.35,3700.5,3717.7,3696.8,3701.0,3709.75,3708.94,142509,528557277.0,13756,63523,44.57,3752.845000000001,49.25013999445898,3851.345279988919,3654.344720011083,2
2017-07-06,HEROMOTOCO,EQ,3709.75,3716.05,3745.0,3708.0,3722.8,3725.35,3733.53,161483,602901500.0,17899,83270,51.57,3746.9500000000016,44.70596333706342,3836.3619266741284,3657.538073325875,2
2017-07-07,HEROMOTOCO,EQ,3725.35,3720.0,3722.7,3673.0,3675.05,3681.65,3690.33,182590,673818223.45,27176,108288,59.31,3741.8100000000013,46.05676588961326,3833.9235317792277,3649.696468220775,2
2017-07-10,HEROMOTOCO,EQ,3681.65,3699.55,3740.0,3687.0,3725.2,3731.0,3724.71,43195,160888828.4,3510,20054,46.43,3739.355000000001,45.2091510880859,3829.773302176173,3648.936697823829,2
2017-07-11,HEROMOTOCO,EQ,3731.0,3735.0,3757.3,3735.0,3745.5,3748.3,3751.06,227102,851873451.55,26279,174117,76.67,3738.107500000001,44.56426251405006,3827.2360250281013,3648.9789749719007,2
2017-07-12,HEROMOTOCO,EQ,3748.3,3758.95,3776.95,3707.65,3721.2,3718.75,3735.47,232681,869171938.6,23536,158417,68.08,3736.420000000001,44.62953470988876,3825.6790694197784,3647.1609305802235,2
2017-07-13,HEROMOTOCO,EQ,3718.75,3732.2,3768.0,3731.1,3749.95,3750.95,3757.93,384727,1445775565.05,16231,304453,79.13,3734.515000000001,43.049992664588956,3820.6149853291786,3648.415014670823,2
2017-07-14,HEROMOTOCO,EQ,3750.95,3765.0,3796.0,3738.0,3752.0,3758.05,3767.92,187230,705468246.2,14517,101149,54.02,3733.532500000001,42.22893830376592,3817.990376607533,3649.074623392469,2
2017-07-17,HEROMOTOCO,EQ,3758.05,3758.05,3785.0,3738.05,3765.0,3764.35,3761.76,131553,494871344.15,8933,72510,55.12,3732.572500000001,41.23866183890144,3815.049823677804,3650.0951763221983,2
2017-07-18,HEROMOTOCO,EQ,3764.35,3755.0,3799.0,3755.0,3780.0,3783.95,3781.79,224796,850131063.55,19334,160601,71.44,3730.4975000000013,37.16196582458297,3804.821431649167,3656.1735683508355,2
2017-07-19,HEROMOTOCO,EQ,3783.95,3787.0,3795.0,3757.7,3785.0,3770.65,3772.67,464119,1750968158.05,45055,400082,86.2,3729.180000000001,35.08946985545584,3799.358939710913,3659.0010602890893,2
2017-07-20,HEROMOTOCO,EQ,3770.65,3772.05,3787.95,3716.5,3716.5,3729.9,3734.07,374090,1396879932.5,29554,302848,80.96,3727.2125000000005,33.80411013238191,3794.8207202647645,3659.6042797352366,2
2017-07-21,HEROMOTOCO,EQ,3729.9,3729.05,3741.0,3675.0,3678.0,3682.0,3705.64,427736,1585034226.55,32196,327936,76.67,3724.777500000001,35.262222498396355,3795.3019449967937,3654.2530550032084,2
